,Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
168,男,31~40,偏胖的,(空),-2,2,-1,2,1,3,2,-2,1,-1,-1,4
169,男,41~50,均匀的,教师,-2,1,-1,1,1,1,-1,-1,-1,-3,-3,4
170,女,18~25,偏胖的,行銷企劃,-2,3,-1,-1,2,3,-3,-2,3,-1,-2,5
171,女,18~25,偏胖的,設計師,-2,3,-2,-3,1,1,-2,-3,3,-3,-3,5
172,女,18~25,偏瘦的,学生,-1,3,-1,2,2,-1,1,3,-3,3,3,5
173,女,18~25,均匀的,财务会计,-1,1,-1,3,-1,-1,1,1,-1,-1,-2,5
174,女,18~25,均匀的,学生,-1,3,-1,3,1,-2,1,1,-1,1,3,5
175,女,26~30,均匀的,設計,-1,3,1,-1,1,1,-2,1,-1,-3,-2,5
176,女,26~30,偏胖的,服装,2,2,-1,-1,2,1,1,1,-1,1,-2,5
177,女,26~30,均匀的,教师,-1,3,-1,1,-1,-1,-1,1,-1,1,2,5
178,女,26~30,均匀的,医师,-2,2,-1,1,-2,-2,-1,2,-1,2,1,5
179,女,26~30,偏胖的,医学,2,2,1,2,1,1,-1,-1,-1,1,1,5
180,女,26~30,均匀的,服装,-1,2,-1,-1,1,1,-2,1,-1,-2,-1,5
181,女,26~30,均匀的,服装设计,-2,3,-2,2,2,2,-2,1,-3,-1,-1,5
182,女,26~30,均匀的,纺织研究助理,-1,3,1,-2,-1,1,-2,-2,-1,-3,-3,5
183,女,31~40,偏瘦的,(空),1,3,1,1,1,1,1,-2,1,-2,1,5
184,女,31~40,均匀的,(空),-2,-2,-1,-2,2,3,-1,-1,-1,-3,-3,5
185,女,31~40,均匀的,教师,-1,2,-1,-1,1,-1,-1,1,-1,-1,1,5
186,女,31~40,偏胖的,教育,-2,-1,1,-2,-3,-2,-1,1,1,-3,-2,5
187,男,18~25,均匀的,master of school of architecture,-1,2,-1,-1,3,3,-1,-2,-2,-3,-1,5
188,男,18~25,偏瘦的,广告,-1,-1,1,-3,1,1,-1,1,3,-3,-1,5
189,男,18~25,均匀的,学生,1,2,1,2,-1,1,1,1,1,1,1,5
190,男,18~25,均匀的,学生,-1,3,1,1,1,1,-1,-1,-1,1,1,5
191,男,18~25,均匀的,学生,-2,1,-2,-2,-2,-2,-1,2,-2,2,3,5
192,男,18~25,均匀的,学生,-2,3,-1,-2,-1,-1,-2,-1,-2,-2,-1,5
193,男,18岁以下,偏瘦的,本科在校学生,1,-1,1,1,1,-1,1,1,1,2,1,5
194,男,26~30,偏胖的,学生,2,2,1,1,3,1,-1,2,3,-2,-1,5
195,男,26~30,均匀的,颜色科学,3,3,-3,3,3,3,3,3,3,3,2,5
196,男,26~30,偏胖的,(空),-1,2,-1,1,-1,-1,-1,1,-1,1,1,5
197,男,26~30,偏瘦的,design master,-2,2,1,-2,1,2,-1,1,2,-2,-2,5
198,男,31~40,偏胖的,工业设计,2,2,2,-1,3,3,2,1,2,-3,-2,5
199,男,31~40,偏胖的,教師,-2,-2,-1,-1,-1,-2,-1,-1,-2,-2,-1,5
200,男,31~40,偏胖的,(空),1,3,1,2,2,1,-1,1,1,-1,1,5
201,男,31~40,偏胖的,design phd,1,3,1,3,2,2,2,2,2,1,-3,5
202,男,31~40,偏胖的,(空),-1,3,-1,-1,-2,2,-1,-2,-1,-1,-1,5
203,男,41~50,均匀的,教师,-1,2,-1,1,-1,1,1,-1,1,-3,-3,5
204,女,18~25,偏胖的,行銷企劃,-3,2,2,-2,-2,1,-2,-2,3,-3,-3,6
205,女,18~25,偏胖的,設計師,-1,2,2,1,2,2,1,-1,3,-1,1,6
206,女,18~25,偏瘦的,学生,-1,1,-2,1,1,-1,-1,1,2,2,1,6
207,女,18~25,均匀的,财务会计,-1,-1,-1,3,-1,-1,-1,2,1,1,1,6
208,女,18~25,均匀的,学生,1,1,2,-1,-2,-1,-1,1,-1,-1,-2,6
209,女,26~30,均匀的,設計,1,1,2,1,2,1,1,2,2,2,2,6
210,女,26~30,偏胖的,服装,1,-2,-1,-1,-2,-2,-1,2,1,2,-1,6
211,女,26~30,均匀的,教师,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-2,6
212,女,26~30,均匀的,医师,-1,1,-1,-1,-1,-1,1,1,-2,-2,-1,6
213,女,26~30,偏胖的,医学,2,-2,-1,1,2,2,2,-2,1,-1,-1,6
214,女,26~30,均匀的,服装,-1,2,1,1,1,1,1,1,-1,1,1,6
215,女,26~30,均匀的,服装设计,-2,2,-1,-1,1,1,-1,-1,-3,-3,-3,6
216,女,26~30,均匀的,纺织研究助理,-2,3,1,-1,1,2,1,-1,-3,-2,-1,6
217,女,31~40,偏瘦的,(空),-1,2,2,1,1,1,1,-2,2,-2,-1,6
218,女,31~40,均匀的,(空),1,-2,2,-1,-1,1,1,-1,2,2,1,6
219,女,31~40,均匀的,教师,-1,1,1,-1,1,-1,-2,1,-1,-1,2,6
220,女,31~40,偏胖的,教育,-3,3,2,-1,-3,-3,-2,2,2,-1,-1,6
221,男,18~25,均匀的,master of school of architecture,-2,2,1,-1,-3,-1,1,-1,-2,-2,-1,6
222,男,18~25,偏瘦的,广告,1,-1,1,-1,-1,-1,1,-2,3,1,1,6
223,男,18~25,均匀的,学生,1,1,2,1,1,1,1,2,1,1,1,6
224,男,18~25,均匀的,学生,-1,3,-1,-1,-1,-1,1,-1,-1,1,-1,6
225,男,18~25,均匀的,学生,-2,1,-1,-1,-1,-1,-1,2,-1,2,2,6
